NAME;ID;Total-Householdafter-taxincomegroupsin2015forprivatehouseholds-100%data;Underu5000;u5000tou9999;u10000tou14999;u15000tou19999;u20000tou24999;u25000tou29999;u30000tou34999;u35000tou39999;u40000tou44999;u45000tou49999;u50000tou59999;u60000tou69999;u70000tou79999;u80000tou89999;u90000tou99999;u100000andover;u100000tou124999;u125000tou149999;u150000tou199999;geometry
Agincourt North;129;9,115;150,000;105;165,000;450,000;340,000;565,000;450,000;510,00;455,000;475,000;930,000;755,000;695,000;640,000;500,000;1,920;935,000;465,000;510,000;"list(list(c(639671.498758165, 639480.560395658, 639354.436350978, 639344.557527472, 639334.686950063, 639324.882341424, 639315.061240593, 639305.306108533, 639295.633437438, 639285.936028053, 639276.312833535, 639266.747361693, 639257.247858622, 639247.748355551, 639238.306575155, 639236.06363693, 639220.750635886, 639196.935909437, 639180.130364942, 639147.747944317, 639108.30686516, 639087.807069471, 639041.307331782, 638966.003979313, 638944.877480296, 638888.061875991, 638811.562839542, 638802.129305242, 
638764.997133082, 638708.882446973, 638632.127781535, 638518.43885025, 638502.688806096, 638492.752259915, 638474.503648547, 638462.002566381, 638450.185910217, 638336.381533583, 638223.253336855, 638081.057650261, 638051.808746274, 638033.378720785, 638020.382872834, 638007.378778786, 638006.496446469, 637971.937056391, 637930.632359444, 637874.995946927, 637871.81295371, 637852.690256122, 637835.87646553, 637818.881260818, 637813.686220076, 637808.252042538, 637801.688149791, 637791.058931511, 
637776.248942348, 637762.750082515, 637750.999395123, 637741.310231834, 637725.692125223, 637703.246250779, 637687.694112939, 637673.378889561, 637662.2466594, 637652.936816546, 637640.996468936, 637626.63176898, 637602.627382314, 637582.877981398, 637576.940791979, 637542.686507467, 637533.187004396, 637522.500063442, 637486.629544033, 637475.002548087, 637438.497079254, 637418.879615881, 637415.556439025, 637863.253505631, 638199.001567296, 638246.309422433, 638426.132046972, 638646.187375924, 
638724.063510474, 638993.884031295, 639354.749702642, 639687.191079644, 639782.441739343, 639819.310036418, 639848.880538165, 639893.500165871, 639959.501921583, 639996.5021562, 640031.003823604, 640049.689478082, 640089.443908903, 640121.628423213, 640194.251794347, 640243.25009925, 640298.688605453, 640465.441167173, 640504.057636688, 640610.193143656, 640750.129399831, 640929.688149285, 641003.193852735, 641038.000625706, 641125.310294556, 641190.058643613, 641290.438375282, 641293.439954378, 
641295.501478482, 641298.247428588, 641300.688273127, 641302.24678535, 641304.003203886, 641306.5017711, 641307.309888549, 641307.812900431, 641309.313689978, 641310.25374497, 641310.938170972, 641311.812257192, 641312.133854952, 641313.131632619, 641313.560429632, 641313.379015511, 641313.131632619, 641313.131632619, 641312.381237845, 641312.307022977, 641312.249300302, 641311.878225963, 641311.441182853, 641311.383460179, 641310.938170972, 641310.311467645, 641309.561072871, 641309.058060989, 641308.629263976, 
641307.384103417, 641306.806876668, 641305.883313869, 641304.308309454, 641302.560137014, 641301.191285009, 641299.129760905, 641296.746639041, 641292.879219822, 641291.378430274, 641290.001332172, 641288.310882407, 641286.496741196, 641284.80629143, 641282.942673641, 641281.812958432, 641280.188477438, 641279.132977096, 641277.37655856, 641275.752077566, 641274.630608453, 641273.377201798, 641271.810443479, 641270.557036824, 641269.130462144, 641267.382289704, 641265.131105382, 641263.943667499, 
641262.37690918, 641260.496799197, 641258.938286974, 641256.810794099, 641255.252281876, 641253.248480447, 641250.626221787, 641249.191401011, 641247.129876907, 641245.381704467, 641242.998582602, 641242.248187829, 641240.12894105, 641239.939280832, 641238.809565623, 641237.877756728, 641236.879979062, 641235.939924071, 641234.810208862, 641234.19175163, 641233.251696639, 641232.55902454, 641231.437555428, 641231.190172535, 641231.058234992, 641230.687160654, 641230.876820871, 641231.190172535, 641231.882844634, 
641232.056012659, 641233.251696639, 641234.496857198, 641236.063615517, 641237.811787957, 641240.937058499, 641245.876470252, 641253.001097555, 641259.878341966, 641265.881500156, 641271.752720804, 641283.561130872, 641304.687629889, 641320.693303032, 641346.503584813, 641385.128300425, 641391.502532954, 641307.252165874, 641258.633181407, 641192.384042802, 641077.689087755, 640637.88353542, 639964.556778686, 639936.313898462, 639675.250732034, 639671.498758165, 4849993.49952078, 4849859.99773183, 
4849771.49643356, 4849763.99801809, 4849756.99949699, 4849749.50108152, 4849742.00266606, 4849734.50425059, 4849726.99583724, 4849719.49742177, 4849711.9990063, 4849704.00069647, 4849696.50228101, 4849688.50397118, 4849680.49566346, 4849678.99598037, 4849724.99625978, 4849795.50136093, 4849845.50079526, 4849947.99913574, 4850066.0041994, 4850125.00173228, 4850265.00214798, 4850487.49513168, 4850547.50245119, 4850708.99832455, 4850682.00402887, 4850681.50413451, 4850681.00424014, 4850678.00487396, 
4850674.49561552, 4850670.4964606, 4850668.99677751, 4850666.99720005, 4850663.4979395, 4850660.49857332, 4850656.4994184, 4850619.99713191, 4850584.00473768, 4850542.50350754, 4850627.99544174, 4850681.50413451, 4850720.9957893, 4850759.99754761, 4850762.99691379, 4850871.50398453, 4850992.99831085, 4851161.00280884, 4851170.50080176, 4851227.49875719, 4851280.99745207, 4851326.99773148, 4851344.00413776, 4851359.50086306, 4851370.49853907, 4851392.50388899, 4851416.99871285, 4851439.00406277, 4851456.50036552, 
4851468.49783027, 4851490.00328583, 4851515.99779277, 4851535.50367087, 4851555.49944545, 4851571.99595947, 4851587.00278829, 4851609.49803469, 4851643.50084936, 4851706.99743152, 4851766.50485666, 4851784.50105378, 4851881.00066188, 4851910.00453291, 4851939.99819477, 4852040.99685215, 4852073.99987809, 4852176.99811293, 4852234.49596273, 4852244.00395354, 4852398.00141143, 4852513.49700538, 4852530.50341166, 4852591.50052201, 4852661.49573091, 4852686.00055265, 4852771.00259037, 4852882.49902941, 
4852984.99736989, 4853017.00060709, 4852904.50437933, 4852814.0035036, 4852686.50044702, 4852488.50228716, 4852383.0045805, 4852274.99740413, 4852224.9979698, 4852105.00332657, 4852010.50329593, 4852034.49822542, 4852047.99537326, 4852063.50209644, 4852114.00142513, 4852125.99888988, 4852161.00149327, 4852210.00113887, 4852265.99930557, 4852287.50476113, 4852298.50243714, 4852326.49652155, 4852347.00218838, 4852377.99563897, 4852366.99796295, 4852359.99944185, 4852352.00113202, 4852345.00261092, 
4852336.00451236, 4852326.99641591, 4852315.9987399, 4852310.00000752, 4852304.00127515, 4852295.00317659, 4852286.5049724, 4852281.49603087, 4852273.49772104, 4852266.49919993, 4852258.5008901, 4852250.50258027, 4852247.00331972, 4852242.00437608, 4852241.50448171, 4852232.49638527, 4852223.49828671, 4852214.50018815, 4852206.50187832, 4852199.50335722, 4852190.49526077, 4852180.49737348, 4852172.49906365, 4852161.00149327, 4852153.00318344, 4852146.00466234, 4852137.99635462, 4852128.99825606, 
4852120.99994623, 4852111.00205894, 4852102.00396038, 4852091.99607521, 4852082.99797665, 4852073.99987809, 4852061.00262462, 4852054.00410352, 4852048.99516198, 4852041.99664088, 4852035.99790851, 4852028.99938741, 4852021.50097194, 4852016.5020283, 4852011.50308465, 4852005.50435228, 4851999.49562202, 4851994.49667838, 4851991.49731219, 4851984.49879109, 4851980.49963617, 4851974.5009038, 4851968.50217143, 4851961.50365033, 4851955.50491795, 4851949.49618769, 4851943.49745532, 4851937.49872295, 
4851931.49999058, 4851923.50168075, 4851916.00326528, 4851909.00474418, 4851899.99664773, 4851891.9983379, 4851883.00023934, 4851874.00214078, 4851863.00446477, 4851855.99594578, 4851846.99784722, 4851843.99848103, 4851836.99995993, 4851828.00186137, 4851822.003129, 4851816.00439662, 4851805.99651145, 4851798.99799035, 4851791.99946925, 4851783.00137069, 4851775.00306086, 4851768.00453976, 4851756.99686585, 4851747.99876729, 4851737.00109128, 4851724.0038378, 4851713.99595263, 4851707.99722025, 4851698.99912169, 
4851690.00102313, 4851679.00334712, 4851669.99525067, 4851656.9979972, 4851638.00201135, 4851611.99750651, 4851590.50204884, 4851571.49606511, 4851551.50029053, 4851517.49747587, 4851458.00004862, 4851411.49987484, 4851340.00498284, 4851229.99822901, 4851213.50171499, 4851162.50249193, 4851133.49862091, 4851094.4968626, 4851009.0049284, 4850696.50096544, 4850216.50239674, 4850194.99694119, 4849996.49888697, 4849993.49952078)))"
Agincourt South-Malvern West;128;8,140;320,000;130;205,000;275,000;350,000;415,000;395,000;450,00;470,000;445,000;860,000;755,000;630,000;500,000;405,000;1,500;700,000;370,000;425,000;"list(list(c(640414.002017731, 640188.133190807, 639994.440632096, 639834.81269768, 639651.501974357, 639631.191838885, 639623.943520135, 639609.248976322, 639226.250782195, 639109.057259934, 638925.309493501, 638829.308439029, 638700.059123808, 638629.497276778, 638467.50271269, 638436.563358938, 638275.747986638, 638042.935946531, 638042.746286313, 638037.130694654, 638036.941034436, 638031.25122791, 638030.311172918, 638028.191926139, 638019.253157625, 637989.05595255, 637985.749267887, 637955.881906669, 
637955.502586234, 637912.81254509, 637891.249002962, 637872.810731377, 637860.557032103, 637855.131100661, 637848.748622035, 637844.246253393, 637840.436556848, 637832.627503543, 637823.631012353, 637807.880968199, 637798.999922359, 637795.058288272, 637783.876581533, 637775.251164682, 637768.62954926, 637758.503342861, 637748.690488126, 637738.556035631, 637729.806927334, 637724.306781025, 637713.191043057, 637694.752771471, 637680.998282649, 637643.750665139, 637622.129400337, 637621.692357227, 
637604.185894536, 637582.68832118, 637568.99980113, 637539.132439912, 637518.377015234, 637487.80873582, 637442.999447897, 637429.310927847, 637525.311982319, 637640.691363369, 637739.562059394, 637813.686220076, 637792.18864672, 637726.632180214, 637718.13045481, 637670.063958802, 637615.12846448, 637543.560593688, 637500.309817987, 637472.380289427, 637456.06126462, 637445.687675329, 637429.44286539, 637411.499359589, 637533.93739917, 637626.74721433, 637684.997639411, 637772.876288914, 637835.87646553, 
637852.690256122, 637871.81295371, 637874.995946927, 637930.632359444, 637971.937056391, 638006.496446469, 638007.378778786, 638020.382872834, 638033.378720785, 638051.808746274, 638081.057650261, 638223.253336855, 638336.381533583, 638450.185910217, 638462.002566381, 638474.503648547, 638492.752259915, 638502.688806096, 638518.43885025, 638632.127781535, 638708.882446973, 638764.997133082, 638802.129305242, 638811.562839542, 638888.061875991, 638944.877480296, 638966.003979313, 639041.307331782, 
639087.807069471, 639108.30686516, 639147.747944317, 639180.130364942, 639196.935909437, 639220.750635886, 639236.06363693, 639238.306575155, 639247.748355551, 639257.247858622, 639266.747361693, 639276.312833535, 639285.936028053, 639295.633437438, 639305.306108533, 639315.061240593, 639324.882341424, 639334.686950063, 639344.557527472, 639354.436350978, 639480.560395658, 639671.498758165, 639675.250732034, 639936.313898462, 639964.556778686, 640637.88353542, 641077.689087755, 641192.384042802, 
641258.633181407, 641307.252165874, 641391.502532954, 641401.002036025, 641409.883081865, 641415.556396199, 641433.689562217, 641458.436097561, 641476.000282927, 641484.749391224, 641488.056075887, 641501.439490369, 641513.190177762, 641543.692488404, 641557.752082793, 641585.632134775, 641591.940398533, 641605.562949811, 641622.310771632, 641624.058944072, 641633.253341576, 641652.310070393, 641669.313521202, 641677.633832485, 641683.249424145, 641691.437797885, 641713.30644558, 641751.246735189, 
641768.942858097, 641795.247905664, 641829.749573067, 641871.746942113, 641876.001927863, 641876.496693648, 641888.882330465, 641891.5623118, 641894.308261906, 641897.128426881, 641899.998068433, 641902.941924854, 641906.001226624, 641909.060528394, 641912.251767707, 641915.44300702, 641918.749691683, 641920.811215787, 641922.056376346, 641925.503244647, 641928.999589528, 641933.501958171, 641938.062049489, 641942.556172035, 641947.000818003, 641951.3794952, 641955.626234854, 641959.881220605, 641963.996022716, 
641968.061348249, 641971.87929089, 641974.691209767, 641981.312825189, 641987.126323162, 641972.308087903, 641819.25229233, 641727.308317294, 641619.878173189, 641536.312232112, 641458.996832117, 641382.877116103, 641272.940158688, 641198.312986125, 641196.746227806, 641128.311873652, 641029.309240084, 640901.502991736, 640838.24718613, 640618.752591735, 640478.379292449, 640414.002017731, 4848809.4997187, 4848742.50387599, 4848687.99539449, 4848640.99532635, 4848589.49620893, 4848582.9975822, 4848580.99800474, 
4848576.49895546, 4848470.50135443, 4848430.99970176, 4848373.50185196, 4848341.49861475, 4848298.49770153, 4848275.0026664, 4848220.50418279, 4848209.99640325, 4848153.99823655, 4848073.49524811, 4848073.99514248, 4848091.00154875, 4848091.50144312, 4848108.49785151, 4848111.49721769, 4848117.49595007, 4848143.00056054, 4848236.00090809, 4848245.99879538, 4848339.4990373, 4848340.49882603, 4848474.00061498, 4848536.99730278, 4848593.99525821, 4848629.49775597, 4848648.50373971, 4848670.49909174, 
4848689.49507759, 4848699.50296276, 4848722.99799789, 4848748.50260836, 4848795.5026765, 4848821.49718345, 4848834.00454045, 4848864.49809668, 4848889.00291842, 4848906.49922117, 4848927.004888, 4848948.0004513, 4848970.4956977, 4848989.50168144, 4849004.99840673, 4849027.50365102, 4849068.50498679, 4849107.99664157, 4849214.50413485, 4849278.00071702, 4849279.00050575, 4849337.99803863, 4849401.50461869, 4849441.9960622, 4849528.49778302, 4849594.5038349, 4849685.50460499, 4849822.99555098, 4849866.49635857, 
4849899.4993845, 4849936.50156536, 4849969.50459129, 4849991.49994333, 4850054.49663113, 4850256.00404942, 4850281.99855637, 4850423.99854952, 4850584.00473768, 4850795.000151, 4850926.00246814, 4851003.4960925, 4851038.4986959, 4851062.00372891, 4851094.99675696, 4851129.499466, 4851172.50037922, 4851207.50298262, 4851227.49875719, 4851259.00210004, 4851280.99745207, 4851227.49875719, 4851170.50080176, 4851161.00280884, 4850992.99831085, 4850871.50398453, 4850762.99691379, 4850759.99754761, 4850720.9957893, 
4850681.50413451, 4850627.99544174, 4850542.50350754, 4850584.00473768, 4850619.99713191, 4850656.4994184, 4850660.49857332, 4850663.4979395, 4850666.99720005, 4850668.99677751, 4850670.4964606, 4850674.49561552, 4850678.00487396, 4850681.00424014, 4850681.50413451, 4850682.00402887, 4850708.99832455, 4850547.50245119, 4850487.49513168, 4850265.00214798, 4850125.00173228, 4850066.0041994, 4849947.99913574, 4849845.50079526, 4849795.50136093, 4849724.99625978, 4849678.99598037, 4849680.49566346, 4849688.50397118, 
4849696.50228101, 4849704.00069647, 4849711.9990063, 4849719.49742177, 4849726.99583724, 4849734.50425059, 4849742.00266606, 4849749.50108152, 4849756.99949699, 4849763.99801809, 4849771.49643356, 4849859.99773183, 4849993.49952078, 4849996.49888697, 4850194.99694119, 4850216.50239674, 4850696.50096544, 4851009.0049284, 4851094.4968626, 4851133.49862091, 4851162.50249193, 4851213.50171499, 4851182.99816087, 4851152.00471028, 4851127.9997829, 4851046.49700573, 4850923.00310195, 4850835.00169804, 4850790.50110172, 
4850780.50321443, 4850734.50293502, 4850693.00170489, 4850597.50188551, 4850553.50118356, 4850466.99946274, 4850444.00432198, 4850407.50203549, 4850364.50112227, 4850360.50196735, 4850344.99524417, 4850315.50147667, 4850286.49760565, 4850270.50098599, 4850264.00235925, 4850237.99785441, 4850174.50127225, 4850049.99758185, 4849983.5016335, 4849896.00012395, 4849787.5030511, 4849656.50073397, 4849642.0037974, 4849640.00421994, 4849601.502356, 4849593.50404617, 4849584.99584408, 4849576.49763989, 4849568.49933006, 
4849560.00112586, 4849552.00281603, 4849544.0045062, 4849535.49630412, 4849527.49799429, 4849519.49968446, 4849514.50074082, 4849511.50137463, 4849503.5030648, 4849495.50475497, 4849483.9971867, 4849472.49961632, 4849461.5019403, 4849450.00436992, 4849438.49680165, 4849426.99923127, 4849415.50166089, 4849404.00409051, 4849392.49652224, 4849380.4990575, 4849372.0008533, 4849350.99529211, 4849332.99909499, 4849326.50046825, 4849266.00325227, 4849228.50117706, 4849186.99994692, 4849155.99649844, 4849129.50209713, 
4849103.99748666, 4849067.49520017, 4849044.00016504, 4849043.50027068, 4849022.00481301, 4848991.50125889, 4848952.99939495, 4848934.0034091, 4848866.49767413, 4848828.49570455, 4848809.4997187)))"
